Order ID,Order Date,CustomerName,State,City
B-26055,"Saturday, March 10, 2018",Harivansh,Uttar Pradesh,Mathura
B-25993,"Saturday, February 3, 2018",Madhav,Delhi,Delhi
B-25973,"Wednesday, January 24, 2018",Madan Mohan,Uttar Pradesh,Mathura
B-25923,"Thursday, December 27, 2018",Gopal,Maharashtra,Mumbai
B-25757,"Tuesday, August 21, 2018",Vishakha,Madhya Pradesh,Indore
B-25967,"Sunday, January 21, 2018",Sudevi,Uttar Pradesh,Prayagraj
B-25955,"Tuesday, January 16, 2018",Shiva,Maharashtra,Pune
B-26093,"Tuesday, March 27, 2018",Sarita,Maharashtra,Pune
B-25798,"Monday, October 1, 2018",Shishu,Andhra Pradesh,Hyderabad
B-25602,"Sunday, April 1, 2018",Vrinda,Maharashtra,Pune
B-25858,"Tuesday, November 13, 2018",Uudhav,Maharashtra,Mumbai
B-25969,"Sunday, January 21, 2018",Shreyshi,Gujarat,Surat
B-26099,"Friday, March 30, 2018",Bhishm,Maharashtra,Mumbai
B-25997,"Sunday, February 4, 2018",Yogesh,Maharashtra,Pune
B-25881,"Sunday, November 25, 2018",Lalita,Uttar Pradesh,Mathura
B-25761,"Saturday, August 25, 2018",Madhav,Uttar Pradesh,Mathura
B-25887,"Saturday, December 1, 2018",Vishakha,Uttar Pradesh,Prayagraj
B-25823,"Thursday, October 18, 2018",Rohan,Maharashtra,Mumbai
B-25853,"Thursday, November 8, 2018",Gaurav,Gujarat,Ahmedabad
B-25862,"Thursday, November 15, 2018",Amol,Bihar,Patna
B-25830,"Friday, October 26, 2018",Aastha,Himachal Pradesh,Simla
B-25786,"Wednesday, September 19, 2018",Madan Mohan,Uttar Pradesh,Mathura
B-25686,"Monday, June 11, 2018",Pooja,Himachal Pradesh,Simla
B-26022,"Sunday, February 18, 2018",Shrichand,Punjab,Chandigarh
B-26003,"Thursday, February 8, 2018",Hitesh,Madhya Pradesh,Bhopal
B-25755,"Sunday, August 19, 2018",Shourya,Kerala ,Thiruvananthapuram
B-25902,"Monday, December 10, 2018",Ishpreet,Maharashtra,Mumbai
B-25935,"Thursday, January 4, 2018",Sudhir,Nagaland,Kohima
